signal_id,app_id,review_text,review_score,review_date,helpful_count
pm_app1_review_20,1,"Used to be very convenient app for years. I used it regularly with no issues at all. Bit suddenly in June 2024, the app started to give me hard time and it is impossible to use it anymore. I use my residential address as my billing address but the app says I can't use PO Box. I called customer support but they were beyond jokes ! I've been waiting for a week already. Will switch to another app if the issue won't be solved in a few days ! Disappointing !",1,2024-06-22,54
pm_app1_review_21,1,"I am becoming frustrated by Western Union bugs in the system. There is an issue that caused ANY in-store transfters to not appear on the history tab even after multiple transfers. I complained about it multiple times to them, and each time, I was referred to check it out on the website, and when I did, it didn't appear there either. I will have it sit at 1 star until this issue gets fixed. I even reinstalled the app multiple times, which still doesn't explain the issues with the online portal.",1,2023-10-29,186
pm_app1_review_22,1,"The app has steep fees to transfer money. With all of the money sending options that most banks offer, it makes no sense to charge so much to wirelessly send money. I would avoid using this service unless you have no choice. There are cheaper and easier ways to send money. Also, after every transfer, they hit you with 4 or 5 ""Offers."" However, they're really just advertising to you. ""You just won an opportunity to win $1000 Walmart gift card! Just go to this website and make an account!"" Etc.",1,2023-06-09,220
pm_app1_review_23,1,"This app need significant improvement. When you minimize the app to get information requested, it closes on you. You have to log in again and it doesn't save entered information so you have to start over each time. The worst part is when you use your bank account to transfer, it is asking for your online ID, security question answer, and password! This is unheard of. All they need is bank's routing and account number. Why should anyone give away their banking access? This is terrible!",1,2019-03-02,54
pm_app1_review_24,1,"Except for a slight confusion at the dialog windows ( password reset ) it does just what I want it to do. 9/2/19....Password no longer a problem; however, I find that no matter how I choose, debit card or credit card, I'm always charged at the credit card rate for the fee.... Very irritating. I'm still being charged at the credit card rate instead of the debit card rate.... What's going on with this app.... Every time I have to fight with this item,the more I'm convinced to use Money Gram",1,2019-09-21,7
pm_app1_review_25,1,"Newest version won't let me login with my fingerprint without enabling permission, such as access to my contacts, photos, videos, location, etc. Not gonna happen. Update the app and I'll change the rating. Also, few months back I sent money internationally. It was supposed to take up to 5 days, which is fine with me. It was a direct bank transfer. It took something like 3 weeks. Unacceptable! Especially when you have people depending on it.",1,2023-12-30,144
pm_app1_review_26,1,"I attempted multiple times to send money abroad using this app. Every time i submitted a transfer, there was a problem. Either a hold placed on the transfer with no notification to me, a weird misspelling of the recipient even though it showed correctly in the record, and then the money just not being available to the recipient after customer service stated all was ready for pickup. I ended up having to go to a store to successfully complete a money transfer. Worthless app to me.",1,2019-07-07,119
pm_app1_review_27,1,"the worst transfert app ever. the app itself is already slow and buggy to interact with. the moment u open the app 💥 ads,ads,ads,ads. the app design is unprofessional, which means that it's ugly. after disable the certain permissions, It's a nightmare every time I open the app, with this system notification pop-up trying to force me to allow unnecessary permissions, even though the app could've worked perfectly fine without those permissions [contact,camera,notification,ect]but refuse.",1,2024-05-24,36
pm_app1_review_28,1,"The best way to send money. UPDATE. Had to bring it down from 5 stars. The last few times I've had a hard time inputting the amount, because it rejects my entry on either currency...probably a rounding error issue, so I keep entering different amounts until I hit the matching (round) amount that it can accept as valid. UPDATE2) I sent ""money in minutes"" and the review team is holding my money...I send thousands of dollars every year and NOW they decide to hold my money for who knows what!!!",1,2024-06-01,39
pm_app1_review_29,1,"Not Reliable. It did not remember my pass word. When I went to reset, there was no security messures so any one could have gone into my account. The only reason I gave this app a two was when I went online from my computer and saw my last transactions. I changed my mind back to a one because security is top priority along eith providing a service. I will return to money gram.",1,2019-01-19,1
pm_app1_review_30,1,"Worst app I have ever used. Redirects me to an ad when I am trying to pay. Gets stuck on loading forever. Constant annoying popups. A complete joke. I am paying a fee and you are bombarding me with ads and popups. I will just use another service. Shouldn't have to worry about clicking an ad instead of ""send"" when handling large financial transactions.",1,2023-11-10,25
pm_app1_review_31,1,"I normally don't leave one star reviews. Unfortunately, over the last few months of using this app, it has serious issues. In 8 months of using it on a biweekly basis, I have had to reinstall the entire app, clear my phone cache and restart it every single time I make a payment. I have only had one occasion where the app loaded successfully for two payments. This is on top of numerous stability issues I encounter when it does work. The error code I get is longer than the word limit for reviews",1,2020-12-22,129
pm_app1_review_32,1,"ONE STAR. Please make sure the app is flawless before rolling it out to the mass. I processed a transfer via the app and chose the ""pay in-store"" option, which was $5. However, the WU agent was unable to complete the transaction because they were unable to enter my ID# into the system for processing. Note that the APP did not require me to input my ID when I created the transfer initially. The agent was calling WU on behalf of me to get this resolved, but was transferred FIVE times, where she had to repeatedly explain what the issue was. An hour later, the supervisor ""Dan"" offered a 50% off the $14 store transaction fee to be applied to the current transaction. He was very unprofessional and hung up on my agent before we could ask another question. It seems like no one in WU knows what they're doing.",1,2018-11-29,19
pm_app1_review_33,1,"No way was I denied to use their service. I'm taking back my 5-star review after using them for years... all of a sudden, with no reason as to why they don't want to do business with me. When I have never had any issues on my account. I have complied with all additional information they've ever requested, like aid bank statements w2 haha you name it ive submitted. We'll guess I'm switching my business to any of the other competitors out there. Thanks for no clarification as to why.",1,2024-06-26,10
