source,product_type,app_key,app_name,unified_category,play_category_clean,section,review_count,score,ratings_count,downloads
trustpilot,Company / Service,gradcoach.com,gradcoach.com,Education,Education & Training,,51,,,
trustpilot,Company / Service,www.futureinbeauty.com,www.futureinbeauty.com,Education,Education & Training,,49,,,
trustpilot,Company / Service,schoolofacademics.co.uk,schoolofacademics.co.uk,Education,Education & Training,,48,,,
trustpilot,Company / Service,www.universalskillsgroup.co.uk,www.universalskillsgroup.co.uk,Education,Education & Training,,48,,,
trustpilot,Company / Service,minifirstaid.co.uk,minifirstaid.co.uk,Education,Education & Training,,47,,,
trustpilot,Company / Service,skippersonline.net,skippersonline.net,Education,Education & Training,,47,,,
trustpilot,Company / Service,strengthandconditioningeducation.com,strengthandconditioningeducation.com,Education,Education & Training,,47,,,
trustpilot,Company / Service,broadbentco.co.uk,broadbentco.co.uk,Education,Education & Training,,46,,,
trustpilot,Company / Service,www.idealschools.co.uk,www.idealschools.co.uk,Education,Education & Training,,46,,,
trustpilot,Company / Service,medichut.com,medichut.com,Education,Education & Training,,44,,,
trustpilot,Company / Service,www.thepasspeople.co.uk,www.thepasspeople.co.uk,Education,Education & Training,,40,,,
trustpilot,Company / Service,scottsbasslessons.com,scottsbasslessons.com,Education,Education & Training,,39,,,
trustpilot,Company / Service,pyjamadrama.com,pyjamadrama.com,Education,Education & Training,,31,,,
trustpilot,Company / Service,uk-assignments.com,uk-assignments.com,Education,Education & Training,,28,,,
trustpilot,Company / Service,abcsupplychain.com,abcsupplychain.com,Education,Education & Training,,27,,,
trustpilot,Company / Service,ardent-training.com,ardent-training.com,Education,Education & Training,,27,,,
trustpilot,Company / Service,actonthis.tv,actonthis.tv,Education,Education & Training,,26,,,
trustpilot,Company / Service,m2hse.co.uk,m2hse.co.uk,Education,Education & Training,,22,,,
trustpilot,Company / Service,thfi.com,thfi.com,Education,Education & Training,,22,,,
trustpilot,Company / Service,quartersbarberingacademy.co.uk,quartersbarberingacademy.co.uk,Education,Education & Training,,21,,,
trustpilot,Company / Service,digitalartsbox.org,digitalartsbox.org,Education,Education & Training,,20,,,
trustpilot,Company / Service,getmoneywiser.com,getmoneywiser.com,Education,Education & Training,,13,,,
trustpilot,Company / Service,bookshop.blackwell.co.uk,bookshop.blackwell.co.uk,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,booksplea.se,booksplea.se,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,bootsphoto.com,bootsphoto.com,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,cewe.co.uk,cewe.co.uk,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,chrisrileymedium.com,chrisrileymedium.com,Entertainment & Media,Hobbies & Crafts,,100,,,
trustpilot,Company / Service,dice.fm,dice.fm,Entertainment & Media,Events & Entertainment,,100,,,
trustpilot,Company / Service,eil.com,eil.com,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,fairdealmusic.co.uk,fairdealmusic.co.uk,Entertainment & Media,Hobbies & Crafts,,100,,,
trustpilot,Company / Service,fanpass.co.uk,fanpass.co.uk,Entertainment & Media,Events & Entertainment,,100,,,
trustpilot,Company / Service,foliosociety.com,foliosociety.com,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,freesnaps.co.uk,freesnaps.co.uk,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,getinthemix.com,getinthemix.com,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,hattonsoflondon.co.uk,hattonsoflondon.co.uk,Entertainment & Media,Hobbies & Crafts,,100,,,
trustpilot,Company / Service,horizonsmusic.co.uk,horizonsmusic.co.uk,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,jadlamracingmodels.com,jadlamracingmodels.com,Entertainment & Media,Hobbies & Crafts,,100,,,
trustpilot,Company / Service,omaze.co.uk,omaze.co.uk,Entertainment & Media,Events & Entertainment,,100,,,
trustpilot,Company / Service,planetoffers.co.uk,planetoffers.co.uk,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,popsa.com,popsa.com,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,poundfabrics.co.uk,poundfabrics.co.uk,Entertainment & Media,Hobbies & Crafts,,100,,,
trustpilot,Company / Service,rarewaves.com,rarewaves.com,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,routenote.com,routenote.com,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,scifier.com,scifier.com,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,seatunique.com,seatunique.com,Entertainment & Media,Events & Entertainment,,100,,,
trustpilot,Company / Service,storage4crafts.co.uk,storage4crafts.co.uk,Entertainment & Media,Hobbies & Crafts,,100,,,
trustpilot,Company / Service,stubhub.co.uk,stubhub.co.uk,Entertainment & Media,Events & Entertainment,,100,,,
trustpilot,Company / Service,uk.match.com,uk.match.com,Entertainment & Media,Events & Entertainment,,100,,,
trustpilot,Company / Service,wonderbly.com,wonderbly.com,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,worldofbooks.com,worldofbooks.com,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,www.1clickprint.com,www.1clickprint.com,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,www.altontowers.com,www.altontowers.com,Entertainment & Media,Events & Entertainment,,100,,,
trustpilot,Company / Service,www.amazon.com,www.amazon.com,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,www.anglingactive.co.uk,www.anglingactive.co.uk,Entertainment & Media,Hobbies & Crafts,,100,,,
trustpilot,Company / Service,www.atgtickets.com,www.atgtickets.com,Entertainment & Media,Events & Entertainment,,100,,,
trustpilot,Company / Service,www.attractiontickets.com,www.attractiontickets.com,Entertainment & Media,Events & Entertainment,,100,,,
trustpilot,Company / Service,www.audible.co.uk,www.audible.co.uk,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,www.bakerross.co.uk,www.bakerross.co.uk,Entertainment & Media,Hobbies & Crafts,,100,,,
trustpilot,Company / Service,www.bondara.co.uk,www.bondara.co.uk,Entertainment & Media,Events & Entertainment,,100,,,
trustpilot,Company / Service,www.books2door.com,www.books2door.com,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,www.buyagift.co.uk,www.buyagift.co.uk,Entertainment & Media,Events & Entertainment,,100,,,
trustpilot,Company / Service,www.designmynight.com,www.designmynight.com,Entertainment & Media,Media & Publishing,,100,,,
trustpilot,Company / Service,www.empiremedals.com,www.empiremedals.com,Entertainment & Media,Hobbies & Crafts,,100,,,
trustpilot,Company / Service,www.ents24.com,www.ents24.com,Entertainment & Media,Events & Entertainment,,100,,,
trustpilot,Company / Service,www.fanatical.com,www.fanatical.com,Entertainment & Media,Events & Entertainment,,100,,,
trustpilot,Company / Service,www.funkypigeon.com,www.funkypigeon.com,Entertainment & Media,Events & Entertainment,,100,,,
trustpilot,Company / Service,www.gak.co.uk,www.gak.co.uk,Entertainment & Media,Media & Publishing,,100,,,
