source,product_type,app_key,app_name,unified_category,play_category_clean,section,review_count,score,ratings_count,downloads
play_market_games,Game,273,Decor Life - Home Design Game,Games,Offline,Stylized games,5000,4.5,900000,100000000
play_market_games,Game,276,Gold & Goblins: Idle Merger,Games,Mine,Stylized games,5000,4.0,458000,10000000
play_market_games,Game,120,1945 Air Force: Airplane Games,Games,Offline,Explore games on PC,5000,4.8,4080000,100000000
play_market_games,Game,116,Worms Zone .io - Hungry Snake,Games,Offline,Explore games on PC,5000,4.2,3090000,500000000
play_market_games,Game,114,FINAL FANTASY BE:WOTV,Games,Fantasy,Explore games on PC,5000,3.8,117000,1000000
play_market_games,Game,112,Top War: Battle Game,Games,Beach,Explore games on PC,5000,3.2,714000,50000000
play_market_games,Game,261,Bullet Echo: PVP Shooter,Games,Science fiction,Shooter games,5000,4.5,755000,10000000
play_market_games,Game,147,Summoners War,Games,Isekai,Explore games on PC,5000,4.1,2360000,50000000
play_market_games,Game,149,King's Throne: Royal Delights,Games,Palace,Explore games on PC,5000,4.2,601000,5000000
play_market_games,Game,150,CookieRun: Kingdom,Games,Cooking,Explore games on PC,5000,4.8,1260000,10000000
play_market_games,Game,254,Words of Wonders: Crossword,Games,Offline,Realistic Games,5000,4.9,5520000,100000000
play_market_games,Game,50,Robbery Bob 2: Double Trouble,Games,Offline,Cartoony games,5000,4.4,1000000,100000000
play_market_games,Game,51,Kick the Buddy－Fun Action Game,Games,Play Pass,Casual games,5000,4.2,3530000,100000000
play_market_games,Game,104,WorldBox - Sandbox God Sim,Games,Offline,Casual games,5000,4.6,767000,10000000
play_market_games,Game,53,Supreme Duelist,Games,Offline,Casual games,5000,4.6,1890000,100000000
play_market_games,Game,54,Happy Color®: Coloring Book,Games,Offline,Casual games,5000,4.6,3620000,100000000
play_market_games,Game,100,Goods Puzzle: Sort Challenge™,Games,Offline,Casual games,5000,4.7,315000,10000000
play_market_games,Game,99,Bubble POP GO! Puzzle Game,Games,Offline,Casual games,5000,4.5,32600,10000000
play_market_games,Game,57,Pou,Games,Offline,Casual games,5000,4.3,12000000,1000000000
play_market_games,Game,156,Golf King - World Tour,Games,Field,Explore games on PC,5000,4.6,656000,10000000
play_market_games,Game,157,Rise of Castles: Ice and Fire,Games,History,Explore games on PC,5000,4.5,1830000,10000000
play_market_games,Game,160,Bricks Breaker Quest,Games,Play Pass,Explore games on PC,5000,4.3,593000,100000000
play_market_games,Game,161,Klondike Adventures: Farm Game,Games,City,Explore games on PC,5000,4.6,1300000,50000000
play_market_games,Game,250,Blockudoku®: Block Puzzle Game,Games,Offline,Puzzle games,5000,4.3,1160000,100000000
play_market_games,Game,163,Hungry Shark Evolution,Games,Play Pass,Explore games on PC,5000,4.5,7620000,500000000
play_market_games,Game,2,Word Collect - Word Games Fun,Games,Offline,Abstract graphics,5000,4.7,588000,10000000
play_market_games,Game,246,My Talking Tom,Games,Offline,Pet simulation games,5000,4.2,17800000,1000000000
play_market_games,Game,183,Hero Wars: Alliance,Games,History,Fantasy setting games,5000,4.6,1650000,100000000
play_market_games,Game,184,MARVEL Puzzle Quest: Match RPG,Games,Super heroes,Fantasy setting games,5000,4.2,371000,10000000
play_market_games,Game,221,Lemmings: Puzzle Survival,Games,Offline,Logic games,5000,4.2,172000,5000000
play_market_games,Game,198,Sky: Children of the Light,Games,Fantasy,Indie Corner,5000,4.5,1090000,10000000
play_market_games,Game,275,Snake.io - Fun Snake .io Games,Games,Offline,Stylized games,5000,4.3,1160000,100000000
play_market_games,Game,142,Rise of Kingdoms: Lost Crusade,Games,Stylized,Explore games on PC,5000,4.5,2470000,50000000
play_market_games,Game,123,Lords Mobile: Kingdom Wars,Games,Medieval fantasy,Explore games on PC,5000,4.5,8990000,500000000
play_market_games,Game,125,Magic Rush: Heroes,Games,Fantasy,Explore games on PC,5000,4.2,1130000,10000000
play_market_games,Game,3,Tap Away,Games,Offline,Abstract graphics,5000,4.3,1130000,50000000
play_market_games,Game,4,Sudoku - Classic Sudoku Puzzle,Games,Offline,Abstract graphics,5000,4.7,2650000,50000000
play_market_games,Game,139,Free Fire MAX,Games,Battling,Explore games on PC,5000,4.4,26500000,500000000
play_market_games,Game,332,Dark War Survival,Games,Apocalyptic,Zombie games,5000,4.3,534000,10000000
play_market_games,Game,279,Tower War - Tactical Conquest,Games,Offline,Stylized games,5000,4.4,561000,50000000
play_market_games,Game,278,Kick the Buddy: Second Kick,Games,Offline,Stylized games,5000,4.4,1120000,100000000
play_market_games,Game,277,My Talking Angela 2,Games,Offline,Stylized games,5000,4.3,2840000,100000000
play_market_games,Game,15,Ludo King®,Games,Board games,Browse popular games,5000,4.2,10100000,1000000000
play_market_games,Game,16,Evertale,Games,Travel,Browse popular games,5000,4.6,541000,10000000
play_market_games,Game,17,eFootball™,Games,Athlete,Browse popular games,5000,3.9,15200000,100000000
play_market_games,Game,18,Dream League Soccer 2025,Games,Offline,Browse popular games,5000,4.4,11500000,100000000
play_market_games,Game,31,MARVEL Strike Force: Squad RPG,Games,Super heroes,Browse popular games,5000,4.3,711000,50000000
play_market_games,Game,20,Genshin Impact,Games,Explorer,Browse popular games,5000,3.3,4920000,100000000
play_market_games,Game,127,Hustle Castle: Medieval games,Games,Renovation,Explore games on PC,5000,4.1,1470000,50000000
play_market_games,Game,19,Match Masters,Games,Connect,Browse popular games,5000,4.8,2350000,50000000
play_market_games,Game,23,Geometry Dash Lite,Games,Offline,Browse popular games,5000,4.4,7670000,500000000
play_market_games,Game,30,Last War:Survival Game,Games,Zombie,Browse popular games,5000,4.6,1050000,50000000
play_market_games,Game,143,State of Survival: Zombie War,Games,Zombie,Explore games on PC,5000,4.3,2310000,50000000
play_market_games,Game,25,Pokémon TCG Pocket - Card Game,Games,Stylized,Browse popular games,5000,4.5,1350000,10000000
play_market_games,Game,26,Frost & Flame: King of Avalon,Games,Medieval fantasy,Browse popular games,5000,4.3,1210000,50000000
play_market_games,Game,27,Whiteout Survival,Games,Immersive,Browse popular games,5000,4.4,1170000,50000000
play_market_games,Game,28,Geometry Dash,Games,Fantasy,Browse popular games,5000,4.8,1010000,5000000
play_market_games,Game,29,Puzzles & Survival,Games,Science fiction,Browse popular games,5000,4.5,320000,10000000
play_market_games,Game,255,My Home Design - Modern City,Games,Offline,Realistic Games,4959,4.6,631000,50000000
play_market_games,Game,148,Just Dance Now,Games,Dancing,Explore games on PC,4940,3.9,1150000,50000000
play_market_games,Game,118,OTR - Offroad Car Driving Game,Games,Offline,Explore games on PC,4935,4.5,496000,50000000
play_market_games,Game,140,Day R Survival: Last Survivor,Games,Offline,Explore games on PC,4931,4.4,734000,10000000
play_market_games,Game,207,The Battle of Polytopia,Games,Play Pass,Indie Corner,4921,4.4,232000,10000000
play_market_games,Game,258,Bit Heroes Quest: Pixel RPG,Games,Smash & beat,Role playing games,4895,4.3,285000,5000000
play_market_games,Game,113,Ronin: The Last Samurai,Games,Eastern fantasy,Explore games on PC,4881,4.6,341000,10000000
play_market_games,Game,136,Last Fortress: Underground,Games,Apocalyptic,Explore games on PC,4860,3.8,427000,10000000
play_market_games,Game,218,"Good Coffee, Great Coffee",Games,Offline,Indie Corner,4810,4.5,88500,5000000
play_market_games,Game,131,Pirates of the Caribbean: ToW,Games,Beach,Explore games on PC,4792,4.4,209000,10000000
play_market_games,Game,252,Drive Zone: Car Simulator Game,Games,Car,Racing games,4762,4.1,154000,50000000
play_market_games,Game,133,Age of Apes,Games,Monkey,Explore games on PC,4757,4.6,1030000,50000000
play_market_games,Game,6,"NYT Games: Word, Number, Logic",Games,Offline,Abstract graphics,4755,4.7,76200,5000000
play_market_games,Game,1,Geometry Dash SubZero,Games,Offline,Abstract graphics,4754,4.5,926000,100000000
